Survived,Age,Pclass:1,Pclass:2,Pclass:3,Sex:female,Sex:male,Embarked:C,Embarked:Q,Embarked:S,SibSp:0,SibSp:1,SibSp:2,SibSp:3,SibSp:gte4,Parch:0,Parch:1,Parch:2,Parch:gte3,LogFare
0,-0.5892881423098361,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,-0.8770972127627564
1,0.6444852037156797,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.3656109170585353
1,-0.2808448058034571,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.79583329239644
1,0.41315270133589554,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.0661957260498083
0,0.41315270133589554,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.7358628883006461
0,1.8782585497411957,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.0422845998742953
0,-2.131504824841731,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.1399350185114177
1,-0.20373397167686236,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,-0.4785018178329184
1,-1.206174815322594,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.49314903278179406
1,-1.9772831565885414,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.08830698170231352
1,2.1867018862475747,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.36887521812612184
0,-0.7435098105630256,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.7215960378422746,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.5324406686745476
0,-1.206174815322594,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.8040631122385047
1,1.9553693838677904,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.13000298970564622
0,-2.131504824841731,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.46120577057532036
1,0.0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,0.10470936482951661,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.015070744989413125
1,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,-0.8802332550414627
0,0.41315270133589554,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.34803752481544026
1,0.33604186720930085,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
1,-1.1290639811959993,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.7838390305231253
1,-0.1266231375502676,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.6595596284377518
0,-1.6688398200821624,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.1399350185114177
1,0.6444852037156797,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.5360362362843256
0,0.0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8802332550414627
0,-0.8206206446896203,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2.7041348162355505
1,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8011496105347625
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
0,0.7987068719688692,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.41188124248951113
1,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2.102760334890701
1,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
0,2.8035885592603327,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-0.1266231375502676,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1.510589744881625
0,0.9529285402220588,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.0449688796963805
1,0.0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8797057343266783
0,-0.6663989764364308,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-0.8977314788162151,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-0.015070744989413125
1,-1.206174815322594,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.46931099253042485
0,0.7987068719688692,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.6303616287244597
0,-0.20373397167686236,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.13641831016745684
0,0.0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.7992195737108371
1,-2.0543939907151363,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.8187470967592722
1,-0.8206206446896203,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8011496105347625
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,-0.16085080696309492
1,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
0,0.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.1678373375339772
0,-0.8977314788162151,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.026005504570564355
0,-1.745950654208757,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0.7717876863475427
0,-0.6663989764364308,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8104079365212102
1,1.492704379108222,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.4406694547892918
1,-0.049512303423672875,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.34803752481544026
0,2.726477725133738,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1.223230485428019
1,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.6595596284377518
1,-0.6663989764364308,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-0.08806772048697024,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8797057343266783
1,-1.9001723224619467,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.41293127473605307
0,-1.4375073177023783,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.9404207527945305
0,-0.5892881423098361,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8797057343266783
0,1.184261042601843,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.5266675688734386
0,-1.9772831565885414,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.4183085208915914
0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.41188124248951113
1,0.0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,-0.17689417903005084
1,-0.049512303423672875,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-0.8206206446896203,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7691691181258066
1,-0.9748423129428098,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.79583329239644
0,-0.2808448058034571,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-0.7137913206414161
0,0.18182019895611135,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-1.0519531470694046,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.9404207527945305
0,-0.6663989764364308,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.3968235412525474
0,-0.2808448058034571,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.2285124924905013
1,0.18182019895611135,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.1291022001167732
